term_id,slug,description
2314,men-plastic-prescription-glasses,"<div class=""description""><div class=""title""><h1>Men's Plastic Prescription Glasses</h1></div><p>Say ?hello? to the world through comfortable and lightweight eyewear! Our brand-new plastic prescription glasses for men has arrived. They are hypoallergenic and permit functionality for all types of excursions. Switch from our calming Yountville line to our zesty Addison selections when the mood takes you. CA Glasses helps you make a statement with Morey, Makayla, Eli, and more. The gang?s all here, and at your disposal! Additionally, our frames mold easily to your face and can be injected with pigment or laminated to create a layered effect. With plenty of styles and colours to choose from, the options are endless. Why wait? Shop now for your new stunning pair of men?s plastic prescription glasses!</p></div>"
2315,wood-eyeglasses-for-men,"<div class=""description""><div class=""title""><h1>Wood Eyeglasses</h1></div><p>Starting at $29, including scratch-resistant prescription lenses that provide 100% UV protection.</p></div>"
2316,men-bifocal-reading-glasses,"<div class=""description""><div class=""title""><h1>Men's Bifocal Reading Glasses</h1></div><p>Looking for some stylish frames to surround your bifocal lenses? CA Glasses has what you?re looking for! We offer high-quality bifocal reading glasses for men that are both trendy and comfortable. With diverse styles and colours available, you?re guaranteed to find the perfect pair of eyewear to call your own! Find your pair of men?s bifocal reading glasses today!</p></div>"
2317,women-eyeglasses-by-lenses,"<div class=""description""><div class=""title""><h1>Women's Eyeglasses by Lenses</h1></div><p>Starting at $29, including scratch-resistant prescription lenses that provide 100% UV protection.</p></div>"
2318,single-vision-eyeglasses-for-women,"<div class=""description""><div class=""title""><h1>Single Vision Eyeglasses</h1></div><p>Starting at $29, including scratch-resistant prescription lenses that provide 100% UV protection.</p></div>"
2319,bifocal-eyeglasses-for-women,"<div class=""description""><div class=""title""><h1>Womens Bifocal Reading Glasses</h1></div><p>Bifocal lenses have a reading segment at the bottom of the lens for clearer, close-up vision. The top portion of the lenses are clear without correction, allowing your eyes to easily adjust to the sights around you. Our frames for bifocal eyeglasses reflect the times, so you?ll be able to achieve a modern, yet classic, look. We also have retro styles and an assortment of colours for those who favour a bold appearance. At CA Glasses, we have a beautiful selection of women's bifocal reading glasses. We guarantee you?ll find your next favourite pair among our selection. Come shop today!</p></div>"
2320,progressive-eyeglasses-for-women,"<div class=""description""><div class=""title""><h1>Women's Progressive Prescription Eyeglasses</h1></div><p>Progressive lens offers three vision powers in one seamless lens, allowing you to do all the things you enjoy without switching glasses. Simply tilt your vision according to the range of distance you need. We have diverse styles for you to choose from. Mix and match our select frames and colours until you find the ideal pair to call your own. Shop at CA Glasses for progressive eyeglasses for women now!</p></div>"
2321,women-eyeglasses-by-frame,"<div class=""description""><div class=""title""><h1>Women's Eyeglasses by Frame</h1></div><p>Starting at $29, including scratch-resistant prescription lenses that provide 100% UV protection.</p></div>"
2322,half-rimmed-glasses-womens,"<div class=""description""><div class=""title""><h1>Half Rim Eyeglasses</h1></div><p>Are you searching for a hybrid frame that offers a minimalistic, yet durable look? If yes, a pair of half-rimmed glasses are the ones you seek. This model is a classic design that remains timeless in today's generation. The thin half-rimmed glasses are made with metal and titanium metals and are available in an assortment of colours for you to choose from. Shop our selection of half-rimmed glasses for women today!</p></div>"
2323,full-rim-eyeglasses-for-women,"<div class=""description""><div class=""title""><h1>Full Rim Eyeglasses</h1></div><p>Starting at $29, including scratch-resistant prescription lenses that provide 100% UV protection.</p></div>"
2324,rimless-eyeglasses-for-women,"<div class=""description""><div class=""title""><h1>Rimless Glasses for Womens</h1></div><p>Starting at $29, including scratch-resistant prescription lenses that provide 100% UV protection.</p></div>"
2325,women-eyeglasses-by-shape,"<div class=""description""><div class=""title""><h1>Women's Eyeglasses by Shape</h1></div><p>Starting at $29, including scratch-resistant prescription lenses that provide 100% UV protection.</p></div>"
2326,aviator-eyeglasses-for-women,"<div class=""description""><div class=""title""><h1>Aviator Eyeglasses</h1></div><p>Starting at $29, including scratch-resistant prescription lenses that provide 100% UV protection.</p></div>"
2327,rectangle-eyeglasses-for-women,"<div class=""description""><div class=""title""><h1>Rectangle Eyeglasses</h1></div><p>Starting at $29, including scratch-resistant prescription lenses that provide 100% UV protection.</p></div>"
2328,wayfarer-eyeglasses-for-women,"<div class=""description""><div class=""title""><h1>Wayfarer Eyeglasses</h1></div><p>Starting at $29, including scratch-resistant prescription lenses that provide 100% UV protection.</p></div>"
2329,cat-eye-glasses,"<div class=""description""><div class=""title""><h1>Womens Cat Eye Glasses</h1></div><p>Make a fashion statement when you step out with a gorgeous pair of cat-eye glasses. The frames can either have an understated shape or a simple, traditional look. Whichever ones you pick, you?re guaranteed to turn heads wherever you go with your unique eyewear. Every pair will match your style perfectly, whether it?s an outing around town or at a work function. Come shop our collection of women's cat eye glasses at CA Glasses today!</p></div>"
2330,women-eyeglass-by-material,"<div class=""description""><div class=""title""><h1>Women's Eyeglass by Material</h1></div><p>Starting at $29, including scratch-resistant prescription lenses that provide 100% UV protection.</p></div>"
2331,metal-eyeglasses-for-women,"<div class=""description""><div class=""title""><h1>Metal Eyeglasses</h1></div><p>Starting at $29, including scratch-resistant prescription lenses that provide 100% UV protection.</p></div>"
2332,titanium-women-eyeglasses-frame,"<div class=""description""><div class=""title""><h1>Women`s Titanium Eyeglasses Frames</h1></div><p>If you?re looking for durable eyewear that?s lightweight, titanium frames are the answer! This type of frame is a popular choice, as it?s versatile in flexibility, style, and colour; it?s the perfect all-in-one solution. Here at CA Glasses, we have a great collection of titanium women's eyeglass frames that our clientele is guaranteed to love. Find your pair today!</p></div>"
2333,plastic-eyeglasses-for-women,"<div class=""description""><div class=""title""><h1>Women's Plastic Eyeglass Frames</h1></div><p>On a budget, but still want top-quality eyewear? CA Glasses is able to accommodate you with both. We have an abundance of lovely designs and gorgeous colours that you?re going to love. Plus, all of our women's plastic eyeglass frames are incredibly comfortable and lightweight. Browse our selection, and find the pair to call your own today!</p></div>"
2334,wood-eyeglasses-for-women,"<div class=""description""><div class=""title""><h1>Wood Eyeglasses</h1></div><p>Starting at $29, including scratch-resistant prescription lenses that provide 100% UV protection.</p></div>"
2335,kids-eyeglasses-by-lenses,"<div class=""description""><div class=""title""><h1>Kids Eyeglasses by Lenses</h1></div><p>Starting at $29, including scratch-resistant prescription lenses that provide 100% UV protection.</p></div>"
2336,single-vision-eyeglasses-for-kids,"<div class=""description""><div class=""title""><h1>Single Vision Eyeglasses</h1></div><p>Starting at $29, including scratch-resistant prescription lenses that provide 100% UV protection.</p></div>"
2337,bifocal-eyeglasses-for-kids,"<div class=""description""><div class=""title""><h1>Bifocal Eyeglasses</h1></div><p>Starting at $29, including scratch-resistant prescription lenses that provide 100% UV protection.</p></div>"
2338,progressive-eyeglasses-for-kids,"<div class=""description""><div class=""title""><h1>Progressive Eyeglasses</h1></div><p>Starting at $29, including scratch-resistant prescription lenses that provide 100% UV protection.</p></div>"
2339,high-definition-eyeglasses-for-kids,"<div class=""description""><div class=""title""><h1>High Definition Eyeglasses</h1></div><p>Starting at $29, including scratch-resistant prescription lenses that provide 100% UV protection.</p></div>"
2340,fashion-eyeglasses-for-kids,"<div class=""description""><div class=""title""><h1>Fashion Eyeglasses</h1></div><p>Starting at $29, including scratch-resistant prescription lenses that provide 100% UV protection.</p></div>"
2341,kids-eyeglasses-by-frame,"<div class=""description""><div class=""title""><h1>Kids Eyeglasses by Frame</h1></div><p>Starting at $29, including scratch-resistant prescription lenses that provide 100% UV protection.</p></div>"
2342,full-rim-eyeglasses-for-kids,"<div class=""description""><div class=""title""><h1>Full Rim Eyeglasses</h1></div><p>Starting at $29, including scratch-resistant prescription lenses that provide 100% UV protection.</p></div>"
2343,kids-eyeglasses-by-shape,"<div class=""description""><div class=""title""><h1>Kids Eyeglasses by Shape</h1></div><p>Starting at $29, including scratch-resistant prescription lenses that provide 100% UV protection.</p></div>"
2344,rectangle-eyeglasses-for-kids,"<div class=""description""><div class=""title""><h1>Rectangle Eyeglasses</h1></div><p>Starting at $29, including scratch-resistant prescription lenses that provide 100% UV protection.</p></div>"
2345,round-eyeglasses-for-kids,"<div class=""description""><div class=""title""><h1>Round Eyeglasses</h1></div><p>Starting at $29, including scratch-resistant prescription lenses that provide 100% UV protection.</p></div>"
2346,kids-eyeglasses-by-material,"<div class=""description""><div class=""title""><h1>Kids Eyeglasses by Material</h1></div><p>Starting at $29, including scratch-resistant prescription lenses that provide 100% UV protection.</p></div>"
2347,metal-eyeglasses-for-kids,"<div class=""description""><div class=""title""><h1>Metal Eyeglasses</h1></div><p>Starting at $29, including scratch-resistant prescription metal eyeglass for kid that provide 100% UV protection.</p></div>"
2348,plastic-eyeglasses-for-kids,"<div class=""description""><div class=""title""><h1>Plastic Eyeglasses</h1></div><p>Starting at $29, including scratch-resistant prescription lenses that provide 100% UV protection.</p></div>"
2350,mens-wooden-prescription-sunglasses,"<div class=""description""><div class=""title""><h1>Mens Wooden Prescription Sunglasses</h1></div><p>Starting at $29, including scratch-resistant prescription lenses that provide 100% UV protection.</p></div>"
2351,mens-tortoise-prescription-sunglasses,"<div class=""description""><div class=""title""><h1>Mens Tortoise Prescription Sunglasses</h1></div><p>Starting at $29, including scratch-resistant prescription lenses that provide 100% UV protection.</p></div>"
2352,discount-prescription-sunglasses,"<div class=""description""><div class=""title""><h1>Discount Prescription Sunglasses</h1></div><p>Spend countless hours outdoors with a beautiful pair of discount prescription sunglasses. With numerous styles and colours to choose from, you?re guaranteed to find something you love. Feeling especially girly today? Try our Emily Rx sunglasses in pink. Stay cool and calm in our black Hudson sunglasses. Want a smoky and mysterious look? Opt for our red Ruby Rx sunglasses. Whether it?s to protect your eyes from harmful UV rays at the beach, in the park, or on a country trail, your pair of inexpensive prescription sunglasses will get the job done. We understand everyone has a budget they must adhere to, so that?s why we have a good selection at a reduced cost for you to choose from.</p></div>"
2354,prescription-sports-sunglasses,"<div class=""description""><div class=""title""><h1>Prescription Sports Sunglasses</h1></div><p>With a pair of prescription sports sunglasses, you can continue to play the sports you love to your heart?s content. We understand that people are more comfortable wearing glasses, but aren?t always comfortable taking them off for extracurricular activities. That?s why we?re dedicated to offer you the best of both worlds. Our Fusion line has the most options to appeal to all kinds of personalities, from a rainbow of colour to soothing yellow. Look like a pro while protecting your eyes in one of our Rx sports glasses today!</p></div>"
2355,clip-on-sunglasses,"<div class=""description""><div class=""title""><h1>Clip on Sunglasses</h1></div><p>CA Glasses brings a stylish and affordable collection of clip-on sunglasses. If your regular prescription glasses are not allowing you to enjoy outdoor activities fully, you should opt for polarized clip-on sunglasses. Clip on to any prescription eyewear frame, pair of safety glasses, or pair of reading glasses to protect your eyes from harsh UV rays during outdoors. Our lightweight, resilient, and utterly useful clip-on prescription sunglasses are available at affordable price. Browse through our best clip-on sunglasses collection available in a variety of colors and shapes.</p></div>"
2356,prescription-running-glasses,"<div class=""description""><div class=""title""><h1>Best Prescription Running Sunglasses and Glasses</h1></div><p>CA Glasses offers a wide range of high-quality prescription running sunglasses at an affordable price. Don't let the harsh sunlight bother you when you?re running to the finish line. Whether you are a casual jogger or a marathon runner, our best running sunglasses are available in a wide variety of styles, models, colors, and brands. Protect your eyes from your every move on the track, with prescription running sunglasses. You no longer need to decide between comfort and clear vision!</p></div>"
2357,prescription-motorcycle-goggles,"<div class=""description""><div class=""title""><h1>Prescription Motorcycle Riding Glasses and Sunglasses</h1></div><p>Prescription motorcycle glasses provide both style and functionality, offering optimal vision correction, wind resistance, and impact protection for a safer and more comfortable ride. CA Glasses provides an excellent range of prescription motorcycle riding glasses to keep your eyes protected from blazing sunbeams, harmful UV rays, harsh wind, and other riding elements. Whether you ride a sports bike or chopper, wear an open-faced helmet or a full shield helmet, we?ve got you covered with the prescription motorcycle sunglasses that best suit your needs. Enjoy riding with clear vision!</p></div>"
2382,reading-glasses-for-men,"<div class=""description""><div class=""title""><h1>Reading Glasses</h1></div><p>Starting at $29, including scratch-resistant prescription lenses that provide 100% UV protection.</p></div>"
2383,men-prescription-sunglasses-108,"<div class=""description""><div class=""title""><h1>Men Prescription Sunglasses</h1></div><p>Starting at $29, including scratch-resistant prescription lenses that provide 100% UV protection.</p></div>"
2384,mens-fashion-sunglasses,"<div class=""description""><div class=""title""><h1>Mens Fashion Sunglasses</h1></div><p>Starting at $29, including scratch-resistant prescription lenses that provide 100% UV protection.</p></div>"
2385,women-sunglasses-106,"<div class=""description""><div class=""title""><h1>Women Sunglasses</h1></div><p>Starting at $29, including scratch-resistant prescription lenses that provide 100% UV protection.</p></div>"
2386,women-fashion-sunglasses,"<div class=""description""><div class=""title""><h1>Women Fashion Sunglasses</h1></div><p>Starting at $29, including scratch-resistant prescription lenses that provide 100% UV protection.</p></div>"
2387,prescription-safety-glasses,"<div class=""description""><div class=""title""><h1>Prescription Safety Glasses</h1></div><p>Invest in high-end & stylish prescription safety glasses from CA Glasses- a one-stop-shop for all your eye-related concerns. We make the best prescription safety glasses using cutting-edge laser technology to facilitate the professionals performing heavy-duty jobs. Some work environments pose a severe risk to eyes from sawdust, chemicals, ashes etc. Injuries from them can lead to temporary to permanent vision loss. prescription safety glasses works as a protective shield and provides full coverage to the eyes. Our collection of prescription safety glasses online include a wide range of trendy frame styles that meet the American National Standard Institute (ANSI Z87) requirements and meet current Occupational safety Health Administration (OSHA) safety standards. With our experience and expertise, we design reliable, sturdy and high-end customized prescription and non-prescription rx safety glasses to meet the exact requirement of the customer. Vision is priceless! So, keep your eyes safe and work efficiently on the job with superior quality RX Safety glasses.</p></div>"
2388,prescription-safety-sunglasses,<div class="description"><div class="title"><h1>Prescription Safety Sunglasses</h1></div><p>Safety glasses don't have to be uncomfortable and clunky. CA Glasses brings a sleek and stylish range of safety sunglasses that are ideal for any outdoor setting. Our prescription safety sunglasses are carefully designed to add comfort and clarity to your eyes when you?re working outside in daylight hours. Those who work in an industrial environment and already need prescription glasses can do their job without doubling up on glasses or compromising their sight.</p></div>
2389,basketball-glasses,<div class="description"><div class="title"><h1>Prescription Basketball Glasses & Goggles</h1></div><p>Eye protection is essential for the basketball players as the game can get intense anytime. CA Glasses provides a collection of high-quality sturdy basketball goggles and glasses to protect you from any kind of eye injury. A well-fit sports goggles keep you confident with sudden moves you make on the court. Don't compromise with vision clarity or eye safety on the court if you are wearing corrective eyewear. Go with our prescription basketball goggles and continue giving your best performance. Browse through our new collection of basketball glasses available at affordable price.</p></div>
2390,baseball-glasses,"<div class=""description""><div class=""title""><h1>Prescription Baseball Glasses</h1></div><p>CA Glasses brings you the most stylish and affordable collection of baseball glasses. A perfect pair of baseball sunglasses are an essential accessory for every player of the ballgame. Whether you are practicing or at a crucial point of the match, with our baseball sunglasses, you not only get eye protection, but also full eye coverage for a clear vision from all the angles. Don't compromise with eye protection or vision clarity if you are prescribed to wear glasses. Opt for our sturdy frames and advanced lens technology for prescription baseball glasses. Browse through our latest collection of baseball glasses and sunglasses!</p></div>"
2391,prescription-ski-snowboard-goggles,"<div class=""description""><div class=""title""><h1>Prescription Ski Goggles and Snowboard Goggles</h1></div><p>Buy prescription ski goggles from CA Glasses, your online source for high quality and affordable sports eyewear. With our ski and snowboard, goggles keep your eyes protected and give you a stylish look while you are enjoying the slopes. Wearing regular or non-prescription skiing goggles when you are already prescribed to wear glasses compromises your vision clarity. With prescription ski glasses you can enjoy the sport better as you don't have to worry about doubling up the glasses or wear non-prescription ski glasses. When your eyes are protected, and you have a clear vision, you can enjoy the unconventional mountain weather in the best possible way.</p></div>"
2392,prescription-swim-goggles,"<div class=""description""><div class=""title""><h1>Prescription Swimming Goggles</h1></div><p>Prescription swimming goggles offers crystal-clear vision underwater, eliminating blurriness and improving safety. Swimming goggle with prescription protect your eyes from chlorine and irritation while ensuring a comfortable and secure fit for an enhanced swimming experience. Prescription swim goggles help swimmers see sharply and accurately, enhancing safety and performance in the water. Whether you're a professional swimmer or want to enjoy your pool during the summer, swimming goggles provide the perfect fit and visibility, making every swim more enjoyable and hassle-free.</p></div>"
2393,29-dollar-glasses,"<div class=""description""><div class=""title""><h1>29-dollar-glasses</h1></div><p>Starting at $29, including scratch-resistant prescription lenses that provide 100% UV protection.</p></div>"
2394,39-dollar-glasses,"<div class=""description""><div class=""title""><h1>39 Dollar Glasses and SunglassesFashion has never been this affordable! CA Glasses offers the most stylish collection of glasses and sunglasses, all at the low price of $39. This smart-looking collection of glasses includes scratch-resistant prescription lenses that also provide 100% UV protection. Buy the trendiest glasses and sunglasses available on the market today, all without compromising lens quality. This range of 39 dollar glasses will fulfil your eyewear requirement to a tee, whether you?re looking for cat-eye glasses, safety glasses, computer glasses, or sports glasses. To define your particular style, all you have to spend is $39 - what a deal! Explore our latest looks below, available in a variety of attractive designs and colors.</p></div>"
2395,49-dollar-glasses,"<div class=""description""><div class=""title""><h1>49-dollar-glasses</h1></div><p>Starting at $29, including scratch-resistant prescription lenses that provide 100% UV protection.</p></div>"
2396,59-dollar-glasses,"<div class=""description""><div class=""title""><h1>59-dollar-glasses</h1></div><p>Starting at $29, including scratch-resistant prescription lenses that provide 100% UV protection.</p></div>"
2397,69-dollar-glasses,"<div class=""description""><div class=""title""><h1>69-dollar-glasses</h1></div><p>Starting at $29, including scratch-resistant prescription lenses that provide 100% UV protection.</p></div>"
2398,79-dollar-and-over,"<div class=""description""><div class=""title""><h1>79-dollar-and-over</h1></div><p>Starting at $29, including scratch-resistant prescription lenses that provide 100% UV protection.</p></div>"
2399,prescription-sunglasses,"<div class=""description""><div class=""title""><h1>Prescription Sunglasses</h1></div><p>Buy stylish Prescription Sunglasses online from CA Glasses. Our range of high quality sunglasses is available at an affordable price. Choose from our custom-crafted sunglasses for women, men, and children. The carefully made sunglasses give you a clearer vision with 100% UV protection. Keep your eyes protected all the time while working, driving, or enjoying outdoor activities. The scratch-resistant lenses with durable frames make the sunglasses a perfect accessory for routine wear. You don't have to worry about doubling up glasses or wear non-prescription sunglasses at the expense of clear vision. Check out our extensive range of attractive prescription sunglasses available at low prices.</p></div>"
2400,cheap-glasses,"<div class=""description""><div class=""title""><h1>Cheap Glasses and Sunglasses</h1></div><p>CA Glasses is your online source for buying cheap glasses and sunglasses. Browse through our cheap glasses online and find the design and style that suit you best. If you are already prescribed to wear glasses, then opt for cheap prescription glasses. Using advanced lens technologies and optical innovation, our experts can give you prescription glasses as per your requirement. Take a look at the most stylish collection of designer glasses starting at just $29.</p></div>"
2401,discount-prescription-glasses,"<div class=""description""><div class=""title""><h1>Discount Glasses</h1></div><p>Achieve a stellar look while on a budget! When it comes to eyewear, you want to look and feel your best without breaking the bank. With an incredible selection of discount prescription glasses to choose from, the possibilities are endless. Mix things up with full and partial frames or bold patterns and a single colour. Whether you want your prescription glasses to blend in or stand out, CA Glasses has colours and styles that are guaranteed to be a comfortable fit and suit any facial structure. Show your eyes some love by getting your perfect discount prescription glasses today!</p></div>"
2402,promotional-glasses,"<div class=""description""><div class=""title""><h1>Promotional Glasses</h1></div><p>Starting at $29, including scratch-resistant prescription lenses that provide 100% UV protection.</p></div>"
2403,best-seller-glasses,"<div class=""description""><div class=""title""><h1>Best Seller Glasses</h1></div><p>Starting at $29, including stylish frames and high quality prescription lenses.</p></div>"
2404,new-arrival-glasses,"<div class=""description""><div class=""title""><h1>New Arrivals</h1></div><p>Starting at $29, including scratch-resistant prescription lenses that provide 100% UV protection.</p></div>"
2405,men-glasses,"<div class=""description""><div class=""title""><h1>Men's GlassesMen can be rough with delicate items like eyeglass frames. we understand that fashion and fit are important and that is the reason why we offer a large selection of glasses and sunglasses frames specifically for men. The frames that are listed on our website are strong and durable, yet fashionable. == Improve your quality of life while boosting your own confidence. Check out our more then 200 different frames created specially for men. Strong as will as durable, fashionable as will as romantic, or just physically good looking. Our specially crafted men?s frames can show off your handsome looks and boost your overall image.</p></div>"
2406,women-glasses,"<div class=""description""><div class=""title""><h1>Women's Glasses</h1></div><p>Women's Glasses Frame A unique collection of women's glasses is available with www.bestpriceglasses.com. We work delegently to bring you the latest design and style of women's prescription glasses and prescription sunglasses. We update our inventory of glsses frames once every 2-3 weeks, so come and visit us often. == Check out our unique collection of modern eye wear. See over 250 fashionable frames in many patterns, shapes, and functionalability. Look professional at the office, while looking attractive and comfortable out shopping or running errands with the family, or your BFF. Dressy enough for your date nights, graceful enough to soften your complexion in any situation. Make a splash at the pool in our designer shades or order your frame choice with a transitional lens to go easily from day to night or sunshine to shadows.</p></div>"
